username,date,year,month,day,hour,minute,second,text,text_clean
paintmila,2018-09-09 17:58:02-07:00,2018,9,9,17,58,2,kfnbfkamx n cheguei nessa parte ainda porra k,kfnbfkamx n chegar n porra k
fillorian,2018-09-09 17:58:02-07:00,2018,9,9,17,58,2,RT @YahooBr: A sexta candidata a chegar ao debate da TV Gazeta é a presidenciável Marina Silva (Rede). #GazetaEstadaoJP #eleicoes2018 https…,@yahoobr : o candidato o chegar o o debater tv gazeta o presidenciável marino silvar ( redar ) . gazetaestadaojp eleicoes2018 https …
hpa_almeida,2018-09-09 17:58:03-07:00,2018,9,9,17,58,3,RT @BlogdoAmorim: Estão anunciando debate de presidenciáveis na TV neste domingo. Se tivessem um pingo de respeito por tudo que aconteceu c…,@blogdoamorim : anunciar debater presidenciáveis o tv n domingo . pingar respeitar acontecer c …
Cristia75630240,2018-09-09 17:58:05-07:00,2018,9,9,17,58,5,RT @BlogdoAmorim: Estão anunciando debate de presidenciáveis na TV neste domingo. Se tivessem um pingo de respeito por tudo que aconteceu c…,@blogdoamorim : anunciar debater presidenciáveis o tv n domingo . pingar respeitar acontecer c …
mestrellar,2018-09-09 17:58:05-07:00,2018,9,9,17,58,5,"RT @MomentsBrasil: #Eleições2018 

Tudo sobre o debate entre os presidenciáveis de hoje 🗳️ 

📺Transmissão em vídeo ao vivo no Twitter
⚡️Twe…",@momentsbrasil : eleições2018 sobrar o debater entrar o presidenciáveis 🗳 ️ 📺 transmissão vídeo o o viver o twitter ⚡ ️twe …
JrLdv,2018-09-09 17:58:06-07:00,2018,9,9,17,58,6,RT @jornalistavitor: Estes são os assuntos mais comentados por quem fala sobre #eleicoes2018 no Twitter; às 18h o debate #GazetaEstadaoJP t…,@jornalistavitor : o assunto comentar falir sobrar eleicoes2018 o twitter ; s 18h o debater gazetaestadaojp t …
viniciusluiz,2018-09-09 17:58:06-07:00,2018,9,9,17,58,6,Alguém sabe se o debate #GazetaEstadaoJP vai ser transmitido no YouTube?,alguém o debater gazetaestadaojp transmitir o youtube ?
filipemafioleti,2018-09-09 17:58:08-07:00,2018,9,9,17,58,8,"RT @Ricamconsult: Hoje à noite, teremos o debate presidencial mais esvaziado da História. Lula na prisão, Bolsonaro no hospital, Daciolo de…","@ricamconsult : , o debater presidencial esvaziar história . lula o prisão , bolsonaro o hospital , daciolo …"
joyridreaming,2018-09-09 17:58:08-07:00,2018,9,9,17,58,8,@bouncesohigh VAI TER DEBATE??????,@bouncesohigh debater ? ? ? ? ? ?
catracalivre,2018-09-09 17:58:09-07:00,2018,9,9,17,58,9,"O postulante do MDB, @meirelles, chega para o debate #GazetaEstadaoJP https://t.co/Sm2FXn4Uw9","o postulante mdb , @meirelles , chegar parir o debater gazetaestadaojp https://t.co/sm2fxn4uw9"
vivinharoque,2018-09-09 17:58:09-07:00,2018,9,9,17,58,9,"RT @annavirginia: Amanhã teremos um debate sem Lula (preso), Haddad (ainda no banco de reservas), Bolsonaro (hospitalizado) e Cabo Daciolo…","@annavirginia : amanhã debater lula ( presar ) , haddad ( o banco reservar ) , bolsonaro ( hospitalizar ) e cabo daciolo …"
FabiMariano,2018-09-09 17:58:09-07:00,2018,9,9,17,58,9,Ver debate domingo. Sofrido mas necessário.,debater domingo . sofrer necessário .
naschimmith,2018-09-09 17:58:09-07:00,2018,9,9,17,58,9,"Vamos Cirão da Massa. Boa sorte no debate de hoje. 
#Ciro12",cirão massa . sortir o debater . ciro12
Agramenezes,2018-09-09 17:58:09-07:00,2018,9,9,17,58,9,"RT @Roberto30950012: Debate na Gazeta sem @jairbolsonaro eu estou fora.
Quem pensa igual curti e retuita
#DireitaUnida",@roberto30950012 : debater o gazeta @jairbolsonaro . pensar igual curtir e retuita direitaunida
cretinaeu,2018-09-09 17:58:10-07:00,2018,9,9,17,58,10,RT @MarinaCantadori: Daqui a pouco tem #Ciro12 desfilando no debate #GazetaEstadaoJP https://t.co/jKmsr0PGQd,@marinacantadori : d o ciro12 desfilar o debater gazetaestadaojp https://t.co/jkmsr0pgqd
iris_da_silva,2018-09-09 17:58:10-07:00,2018,9,9,17,58,10,Estes são os assuntos mais comentados por quem fala sobre #eleicoes2018 no Twitter; às 18h o debate… https://t.co/8zjT3ARwDO,o assunto comentar falir sobrar eleicoes2018 o twitter ; s 18h o debater … https://t.co/8zjt3arwdo
ajudanilo1,2018-09-09 17:58:10-07:00,2018,9,9,17,58,10,RT @mhirase: Hoje tem #Ciro12 no debate da #GazetaEstadaoJP https://t.co/EoDDOTaNhs,@mhirase : ciro12 o debater gazetaestadaojp https://t.co/eoddotanhs
fabitio,2018-09-09 17:58:10-07:00,2018,9,9,17,58,10,@JovemPanNews @pcarvalhojp @Estadao @tvgazetaoficial @TwitterBrasil O @joaoamoedonovo deveria fazer parte do debate… https://t.co/LkwrN3XTEs,@jovempannews @pcarvalhojp @estadao @tvgazetaoficial @twitterbrasil o @joaoamoedonovo dever debater … https://t.co/lkwrn3xtes
galo_vasco,2018-09-09 17:58:11-07:00,2018,9,9,17,58,11,"RT @berieux: Pensa como seria fantástico um debate presidencial na Globo às 18 horas de domingo.

Ou às 20 horas de um dia de semana.

Mas…",@berieux : pensar comer seriar fantástico debater presidencial o globo s 18 horar domingo . s 20 horar semana . …
VemPraMassa,2018-09-09 17:58:11-07:00,2018,9,9,17,58,11,Temos #Ciro12 em 3 minutos! Não perca!,ciro12 3 minuto ! perder !
yukisays,2018-09-09 17:58:15-07:00,2018,9,9,17,58,15,"RT @annavirginia: Amanhã teremos um debate sem Lula (preso), Haddad (ainda no banco de reservas), Bolsonaro (hospitalizado) e Cabo Daciolo…","@annavirginia : amanhã debater lula ( presar ) , haddad ( o banco reservar ) , bolsonaro ( hospitalizar ) e cabo daciolo …"
ApoioAlvaroDias,2018-09-09 17:58:15-07:00,2018,9,9,17,58,15,"RT @alvarodias_: Assista o debate com os presidenciáveis, hoje às 18:00 ! #AlvaroDias19  https://t.co/VmwQwG1NmX via @exame","@alvarodias _ : assistir o debater o presidenciáveis , s 18:00 ! alvarodias19 https://t.co/vmwqwg1nmx @exame"
chico_2170,2018-09-09 17:58:15-07:00,2018,9,9,17,58,15,Ao vivo: Estadão e TV Gazeta realizam terceiro debate presidencial https://t.co/K60v19ca01 via @VEJA,o o viver : estadão e tv gazeta realizar terceirar debater presidencial https://t.co/k60v19ca01 @veja
aramosfreitas1,2018-09-09 17:58:16-07:00,2018,9,9,17,58,16,RT @BlogdoAmorim: Estão anunciando debate de presidenciáveis na TV neste domingo. Se tivessem um pingo de respeito por tudo que aconteceu c…,@blogdoamorim : anunciar debater presidenciáveis o tv n domingo . pingar respeitar acontecer c …
Clau1Araujo,2018-09-09 17:58:18-07:00,2018,9,9,17,58,18,"Parabéns @tvgazetaoficial isso è que è horario para debate, assim todo mundo pode asistir","parabém @tvgazetaoficial è è horario parir debater , mundo asistir"
navegante_negro,2018-09-09 17:58:18-07:00,2018,9,9,17,58,18,"RT @lolaescreva: Não quero espalhar pânico, mas a entrevista do General Mourão na GloboNews e o artigo do Safatle assustam. O filósofo aind…","@lolaescreva : querer espalhar pânico , o entrevisto general mourão o globonews e o artigo safatle assustar . o filósofo aind …"
liroumonstraa,2018-09-09 17:58:19-07:00,2018,9,9,17,58,19,Emendar o clássico com o debate 10/10,emendar o clássico o debater 10/10
natcostacruz,2018-09-09 17:58:19-07:00,2018,9,9,17,58,19,#JoãoNosDebates Infelizmente mais um debate sem João Amoêdo...,joãonosdebates infelizmente debater joão amoêdo ...
VitorNeot,2018-09-09 17:58:20-07:00,2018,9,9,17,58,20,RT @JornalDaGazeta: Acompanhe os bastidores do debate #GazetaEstadaoJP  https://t.co/nMRhTHlQZo,@jornaldagazeta : acompanhar o bastidor debater gazetaestadaojp https://t.co/nmrhthlqzo
monteiros_F,2018-09-09 17:58:21-07:00,2018,9,9,17,58,21,RT @itsguses: JoutJout fez vídeo sobre abuso e levantou um debate enorme na internet na época que fez com que muita mina percebesse que tav…,@itsguses : joutjout vídeo sobrar abusar e levantar debater enorme o internet o época minar perceber tav …
supergrasi,2018-09-09 17:58:22-07:00,2018,9,9,17,58,22,RT @huffpostbrasil: As jornalistas @supergrasi e Débora Melo estão na sede da TV Gazeta para o debate #GazetaEstadaoJP. Os jornalistas @die…,@huffpostbrasil : o jornalista @supergrasi e débora melar o tv gazeta parir o debater gazetaestadaojp . o jornalista @die …
DayNatale,2018-09-09 17:58:23-07:00,2018,9,9,17,58,23,Vai ter debate dos presenciáveis la no meu país Cásper Líbero hoje,debater presenciar o o país cásper líbero
politizaBR,2018-09-09 17:58:23-07:00,2018,9,9,17,58,23,"gente, não to achando link pra assistir o debate! Alguém me ajudaa","gente , to achar link pra assistir o debater ! alguém ajudaa"
eltonpedroso123,2018-09-09 17:58:24-07:00,2018,9,9,17,58,24,"RT @JoselitoMuller3: Quando alguém do PSOL, tipo Boulos no debate, acusa alguém de promover discurso de ódio, é como se a Bruna Surfistinha…","@joselitomuller3 : alguém psol , boulos o debater , acusar alguém promover discursar ódio , comer o bruno surfistinha …"
eikonoklastein,2018-09-09 17:58:26-07:00,2018,9,9,17,58,26,"É p fim dos tempos, brasileiro sempre reclama que o país não muda, mas não para um minuto do seu tempo para ver um… https://t.co/TDhWDhKY9m","p , brasileiro reclamar o país mudo , parir minutar parir … https://t.co/tdhwdhky9m"
FollowRenato,2018-09-09 17:58:27-07:00,2018,9,9,17,58,27,RT @bbcbrasil: Marina Silva (Rede) também chegou ao local do debate.,@bbcbrasil : marino silvar ( redar ) chegar o o debater .
lucheco38,2018-09-09 17:58:27-07:00,2018,9,9,17,58,27,#GazetaEstadaoJP sem o #EuSouLula  #LulaLivre  esse debate não tem sentido. Desculpa,gazetaestadaojp o eusoulula lulalivre debater sentir . desculpar
zleosoares,2018-09-09 17:58:27-07:00,2018,9,9,17,58,27,RT @BuzzFeedNewsBR: Camarim do @CaboDaciolo está vazio no debate da TV Gazeta https://t.co/K5CelR5nps,@buzzfeednewsbr : camarim @cabodaciolo vaziar o debater tv gazeta https://t.co/k5celr5nps
isabelascb,2018-09-09 17:58:28-07:00,2018,9,9,17,58,28,RT @chicobarney: Tá rolando uma depilação de buço na sala de espera para o debate presidencial na Gazeta.,@chicobarney : tá rolar umar depilação buço o sala esperar parir o debater presidencial o gazeta .
pedroandsbstian,2018-09-09 17:58:30-07:00,2018,9,9,17,58,30,terminando esse set eu ponho no debate,terminar set pôr o debater
Forrestal15,2018-09-09 17:58:31-07:00,2018,9,9,17,58,31,"RT @SchuldinerSieg: Procede a informação de que o Mourão vai substituir o Bolsonaro no debate de hoje e nos posteriores?

Caso sim, começo…","@schuldinersieg : proceder o informação o mourão substituir o bolsonaro o debater e o posterior ? casar , comedir …"
idcohana,2018-09-09 17:58:32-07:00,2018,9,9,17,58,32,agora eh tomar um banhozin e ver o debate dps,eh tomar banhozin e o debater dps
DGSocialismo,2018-09-09 17:58:33-07:00,2018,9,9,17,58,33,"@GuilhermeBoulos chegando com povo pro debate da Gazeta! 

#BoulosNaGazeta #GazetaEstadaoJP https://t.co/sOgzwt2xug",@guilhermeboulos chegar pro debater gazeta ! boulosnagazeta gazetaestadaojp https://t.co/sogzwt2xug
LuizzaoTV,2018-09-09 17:58:35-07:00,2018,9,9,17,58,35,RT @JornalDaGazeta: Acompanhe os bastidores do debate #GazetaEstadaoJP  https://t.co/nMRhTHlQZo,@jornaldagazeta : acompanhar o bastidor debater gazetaestadaojp https://t.co/nmrhthlqzo
BernardMenezes,2018-09-09 17:58:35-07:00,2018,9,9,17,58,35,Vai começar!! Debate na TV Gazeta #Ciro12,começar ! ! debater o tv gazeta ciro12
reztirps,2018-09-09 17:58:37-07:00,2018,9,9,17,58,37,"RT @Ricamconsult: Hoje à noite, teremos o debate presidencial mais esvaziado da História. Lula na prisão, Bolsonaro no hospital, Daciolo de…","@ricamconsult : , o debater presidencial esvaziar história . lula o prisão , bolsonaro o hospital , daciolo …"
JohnGALTnovo30,2018-09-09 17:58:39-07:00,2018,9,9,17,58,39,"RT @AndradeBruno2: @TwitterGov @tvgazetaoficial @Estadao @JovemPanNews O candidato do PT não vai poder participar do Debate, o candidato Ca…","@andradebruno2 : @twittergov @tvgazetaoficial @estadao @jovempannews o candidatar pt participar debater , o candidatar ca …"
vivigreice20,2018-09-09 17:58:39-07:00,2018,9,9,17,58,39,"RT @tvgazetaoficial: Confira infográfico pré-debate #GazetaEstadaoJP, mostrando os temas mais comentados, produzido pela equipe do @Twitter…","@tvgazetaoficial : conferir infográfico pré - debater gazetaestadaojp , mostrar o temer comentar , produzir pelar equipar @twitter …"
leolarezende,2018-09-09 17:58:40-07:00,2018,9,9,17,58,40,"Verão que a audiência será mínima, pois o Brasil é #Bolsonaro17 
Vale lembrar a famosa frase do Dr. Enéas: ""É FALSA… https://t.co/FUn1NvtZCi","o audiência mínimo , pois o brasil bolsonaro17 valer lembrar o famoso frase dr . enéas : "" falso … https://t.co/fun1nvtzci"
karevalwx,2018-09-09 17:58:40-07:00,2018,9,9,17,58,40,"debate sem as loucuras do daciolo
sem o bozo pagando mico
sem lula nem haddad
#GazetaEstadaoJP https://t.co/YqpWSM7pvC",debater o loucura daciolo o bozo pagar mico lula haddad gazetaestadaojp https://t.co/yqpwsm7pvc
gprepublica,2018-09-09 17:58:41-07:00,2018,9,9,17,58,41,Tempo Real: Debate TV Gazeta Estadão entre presidenciáveis https://t.co/scbFjcK0Z7,real : debater tv gazeta estadão entrar presidenciáveis https://t.co/scbfjck0z7
jane_efs,2018-09-09 17:58:43-07:00,2018,9,9,17,58,43,"RT @Roberto30950012: Debate na Gazeta sem @jairbolsonaro eu estou fora.
Quem pensa igual curti e retuita
#DireitaUnida",@roberto30950012 : debater o gazeta @jairbolsonaro . pensar igual curtir e retuita direitaunida
sxderddaze,2018-09-09 17:58:43-07:00,2018,9,9,17,58,43,isso lembra aqueles posts de festa de aniversario que convidam uma galera e não aparece ninguém,lembrar posts festa aniversariar convidar umar galera e aparecer ninguém
MULEQECONQUISTA,2018-09-09 17:58:44-07:00,2018,9,9,17,58,44,"RT @AndradeBruno2: @JovemPanNews Quase 700 mil pessoas já mostraram através do abaixo-assinado que querem o @joaoamoedonovo no Debate,  tri…","@andradebruno2 : @jovempannews quase 700 pessoa mostrar abaixar - assinar querer o @joaoamoedonovo o debater , tri …"
seujorge38,2018-09-09 17:58:48-07:00,2018,9,9,17,58,48,"RT @cirogomes: Acompanhe o debate também pelo nosso perfil aqui no Twitter! Para conferir a área de cobertura completa da TV Gazeta, clique…","@cirogomes : acompanhar o debater pelar perfil o twitter ! parir conferir o cobertura completar tv gazeta , clicar …"
Clau1Araujo,2018-09-09 17:58:48-07:00,2018,9,9,17,58,48,RT @YahooBr: O presidenciável Ciro Gomes (PDT) é o primeiro candidato a chegar ao debate da TV Gazeta que começa às 18h. Ele fala com a imp…,@yahoobr : o presidenciável ciro gomar ( pdt ) o candidatar o chegar o o debater tv gazeta comedir s 18h . falir o imp …
andersonsilvadm,2018-09-09 17:58:48-07:00,2018,9,9,17,58,48,"RT @Roberto30950012: Debate na Gazeta sem @jairbolsonaro eu estou fora.
Quem pensa igual curti e retuita
#DireitaUnida",@roberto30950012 : debater o gazeta @jairbolsonaro . pensar igual curtir e retuita direitaunida
otubenews,2018-09-09 17:58:50-07:00,2018,9,9,17,58,50,"#GazetaEstadaoJP #Eleições2018
Assista ao vivo o debate dos presidenciáveis na TV Gazeta.
https://t.co/gxxejAnPkn",gazetaestadaojp eleições2018 assistir o o viver o debater presidenciáveis o tv gazeta . https://t.co/gxxejanpkn
catracalivre,2018-09-09 17:58:52-07:00,2018,9,9,17,58,52,"A candidata @MarinaSilva, que vai participar do debate #GazetaEstadaoJP https://t.co/F8kAWXpEb3","o candidato @marinasilva , participar debater gazetaestadaojp https://t.co/f8kawxpeb3"
vc_naval,2018-09-09 17:58:53-07:00,2018,9,9,17,58,53,RT @BlogdoAmorim: Estão anunciando debate de presidenciáveis na TV neste domingo. Se tivessem um pingo de respeito por tudo que aconteceu c…,@blogdoamorim : anunciar debater presidenciáveis o tv n domingo . pingar respeitar acontecer c …
4901c3746c3049d,2018-09-09 17:58:53-07:00,2018,9,9,17,58,53,"RT @SchuldinerSieg: Procede a informação de que o Mourão vai substituir o Bolsonaro no debate de hoje e nos posteriores?

Caso sim, começo…","@schuldinersieg : proceder o informação o mourão substituir o bolsonaro o debater e o posterior ? casar , comedir …"
polianam_,2018-09-09 17:58:54-07:00,2018,9,9,17,58,54,Bolso escapou de um debate.,bolsar escapar debater .
victorgaete,2018-09-09 17:58:54-07:00,2018,9,9,17,58,54,RT @valoreconomico: Debate sobre violência e trajetórias pessoais tomam horário eleitoral https://t.co/OqKCjMJIiY,@valoreconomico : debater sobrar violência e trajetória pessoal tomar horário eleitoral https://t.co/oqkcjmjiiy
